hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 1800.00000, 11.0811, 20.8399, 10.9056, 16.0593, 11.7785, 17.7241, 0, 0
1, 0.00000, 8.97601, 19.238, 8.95927, 17.2602, 9.23425, 18.1587, 0, 0
1, 1800.00000, 7.998, 14.48, 7.68774, 23.5054, 6.75618, 16.6218, 0, 0
2, 0.00000, 7.67432, 14.0347, 7.27374, 24.5645, 6.26587, 15.9761, 0, 0
2, 1800.00000, 7.86005, 14.8915, 7.15371, 25.3195, 6.32763, 14.293, 0, 0
3, 0.00000, 7.78786, 14.0866, 7.02384, 26.6529, 5.99936, 13.6793, 0, 0
3, 1800.00000, 7.52814, 14.3713, 7.0157, 24.8895, 6.10529, 15.2632, 0, 0
4, 0.00000, 7.76182, 12.5145, 7.54147, 25.0977, 6.15718, 16.9361, 0, 0
4, 1800.00000, 10.3805, 11.8555, 9.87713, 26.7441, 7.78585, 15.8886, 0, 0
5, 0.00000, 11.8186, 16.3022, 10.9982, 22.8539, 10.2881, 15.4971, 0, 0
5, 1800.00000, 15.2908, 14.217, 14.4132, 24.622, 12.4864, 15.7715, 0, 0
6, 0.00000, 16.8817, 13.4011, 16.4144, 24.1835, 13.8746, 17.0513, 0, 0
6, 1800.00000, 24.941, 13.3377, 25.6017, 22.0947, 21.8673, 19.2982, 0, 0
7, 0.00000, 31.005, 11.3288, 29.8724, 26.7447, 23.1294, 16.4784, 0, 0
7, 1800.00000, 32.1669, 12.997, 29.6733, 27.0588, 24.2566, 14.6257, 0, 0
8, 0.00000, 34.6784, 13.7833, 31.8331, 27.2658, 26.412, 14.8727, 0, 0
8, 1800.00000, 37.0042, 14.0861, 33.7317, 28.6144, 27.5262, 15.087, 0, 0
9, 0.00000, 28.1634, 17.4999, 27.2564, 27.6523, 23.3776, 20.5794, 0, 0
9, 1800.00000, 11.3823, 35.0749, 10.9864, 38.8444, 10.5478, 35.0634, 0, 0
10, 0.00000, 6.75276, 42.3101, 7.72793, 46.3039, 6.85327, 51.5303, 0, 0
10, 1800.00000, 3.65968, 67.474, 6.78873, 67.4615, 5.88624, 94.8925, 0, 0
11, 0.00000, 3.45026, 137.276, 5.31204, 72.5108, 7.81044, 111.25, 0, 0
11, 1800.00000, 12.0687, 171.234, 5.79332, 151.389, 12.4262, 138.539, 0, 0
12, 0.00000, 14.0275, 171.979, 7.10627, 162.414, 13.3218, 141.952, 0, 0
12, 1800.00000, 12.9805, 169.193, 3.7372, 169.565, 11.5433, 125.388, 0, 0
13, 0.00000, 6.96309, 146.059, 2.97476, 76.2979, 9.15248, 100.519, 0, 0
13, 1800.00000, 5.68234, 140.355, 3.29624, 66.8595, 8.30023, 97.0926, 0, 0
14, 0.00000, 4.18603, 129.762, 4.24797, 73.7336, 7.15206, 102.017, 0, 0
14, 1800.00000, 3.38758, 78.7693, 6.60494, 15.4698, 8.9227, 56.9784, 0, 0
15, 0.00000, 5.80299, 52.2304, 9.53638, -1.58945, 13.0062, 34.3247, 0, 0
15, 1800.00000, 14.0262, 18.3762, 19.1341, 8.36913, 19.4672, 25.7808, 0, 0
16, 0.00000, 23.0826, 13.1873, 22.9036, 18.3221, 21.1891, 15.3345, 0, 0
16, 1800.00000, 33.2812, 15.1364, 28.2124, 12.78, 32.1412, 6.18514, 0, 0
17, 0.00000, 50.7152, 13.3101, 43.6041, 16.7438, 45.1601, 7.0489, 0, 0
17, 1800.00000, 57.2244, 15.4785, 48.4561, 18.7534, 50.8365, 8.37298, 0, 0
18, 0.00000, 66.1513, 16.7681, 57.3616, 17.1729, 61.8958, 9.86812, 0, 0
18, 1800.00000, 69.1386, 17.8779, 56.2948, 17.5668, 64.0486, 7.69694, 0, 0
19, 0.00000, 66.8331, 12.3959, 57.0459, 21.4444, 54.081, 7.5323, 0, 0
19, 1800.00000, 66.8075, 9.24663, 61.0106, 22.5902, 50.9577, 9.98067, 0, 0
20, 0.00000, 59.0247, 10.9584, 54.9855, 21.0658, 48.2652, 11.6981, 0, 0
20, 1800.00000, 49.4063, 11.3094, 45.2751, 22.4824, 39.3459, 11.4423, 0, 0
21, 0.00000, 42.3266, 10.9068, 41.6662, 22.1107, 34.7171, 15.5559, 0, 0
21, 1800.00000, 41.0265, 12.3335, 38.6853, 21.6935, 34.174, 13.4878, 0, 0
22, 0.00000, 37.4336, 14.4298, 30.6863, 23.0039, 30.1979, 7.10357, 0, 0
22, 1800.00000, 30.5535, 11.2272, 27.6508, 23.1059, 23.8907, 10.8175, 0, 0
23, 0.00000, 25.8056, 8.75779, 23.8776, 25.3239, 18.4811, 11.5107, 0, 0
23, 1800.00000, 24.6076, 10.6385, 21.8337, 24.7895, 18.279, 9.69912, 0, 0
24, 0.00000, 19.8433, 10.2643, 18.1257, 22.4762, 15.4646, 10.5567, 0, 0
24, 1800.00000, 17.5726, 11.8928, 15.6058, 21.8367, 14.1535, 9.63883, 0, 0
25, 0.00000, 12.0794, 17.1137, 10.2367, 19.0787, 10.9461, 9.62697, 0, 0
25, 1800.00000, 10.9032, 20.7408, 8.61048, 18.6414, 10.2564, 8.64129, 0, 0
26, 0.00000, 11.7281, 19.5528, 9.54133, 19.5268, 10.808, 9.44286, 0, 0
26, 1800.00000, 9.84507, 18.2426, 7.30201, 23.7991, 8.1652, 4.93659, 0, 0
27, 0.00000, 9.69358, 17.6873, 7.0413, 25.3854, 7.75252, 3.6467, 0, 0
27, 1800.00000, 10.5401, 17.8912, 8.48718, 21.4732, 9.17595, 8.30698, 0, 0
28, 0.00000, 10.0414, 17.7695, 7.48554, 24.3902, 8.19901, 4.90306, 0, 0
28, 1800.00000, 11.7183, 14.5468, 9.64952, 25.3635, 9.09147, 8.01566, 0, 0
29, 0.00000, 9.77523, 11.8617, 9.60919, 25.1815, 7.68246, 17.3955, 0, 0
29, 1800.00000, 13.3226, 15.5813, 12.5177, 23.2425, 11.4209, 15.7909, 0, 0
30, 0.00000, 15.6027, 13.7981, 14.388, 26.0234, 12.1985, 14.6982, 0, 0
30, 1800.00000, 19.8969, 13.1164, 19.0268, 25.1933, 15.8325, 16.2938, 0, 0
31, 0.00000, 27.4013, 12.338, 24.5247, 29.1117, 19.3256, 12.7982, 0, 0
31, 1800.00000, 29.2421, 17.6616, 24.1013, 26.365, 23.5649, 10.6705, 0, 0
32, 0.00000, 31.7186, 18.4752, 29.3719, 20.6417, 29.6181, 15.5793, 0, 0
32, 1800.00000, 29.0539, 18.0083, 28.9504, 20.2683, 28.0079, 18.9577, 0, 0
33, 0.00000, 21.9118, 22.5353, 19.8081, 23.4765, 20.6475, 17.9142, 0, 0
33, 1800.00000, 13.1332, 21.9806, 15.2896, 25.173, 13.6513, 31.574, 0, 0
34, 0.00000, 18.1961, 15.0872, 21.5796, 24.4749, 17.2745, 30.0062, 0, 0
34, 1800.00000, 17.5328, 16.5535, 18.248, 32.1506, 13.5404, 27.1823, 0, 0
35, 0.00000, 17.2824, 19.9379, 15.25, 37.1868, 12.0135, 19.5112, 0, 0
35, 1800.00000, 19.2231, 18.668, 17.6152, 32.6688, 14.4756, 19.814, 0, 0
36, 0.00000, 19.199, 13.2584, 17.2853, 34.9884, 12.1029, 15.5596, 0, 0
36, 1800.00000, 19.5979, 11.6515, 19.9461, 31.6531, 13.5344, 23.0765, 0, 0
37, 0.00000, 18.7462, 18.4255, 20.3231, 22.3976, 18.4023, 24.7611, 0, 0
37, 1800.00000, 17.6554, 21.6067, 17.8935, 21.5256, 17.7971, 22.2305, 0, 0
38, 0.00000, 20.8025, 19.2833, 20.4891, 22.1485, 19.7488, 19.9209, 0, 0
38, 1800.00000, 15.9162, 20.5114, 19.2936, 13.1921, 19.7101, 25.0495, 0, 0
39, 0.00000, 15.0203, 18.7289, 18.1064, 15.1567, 17.6408, 25.4973, 0, 0
39, 1800.00000, 16.6669, 13.2796, 23.6676, 8.9499, 22.2627, 26.5574, 0, 0
40, 0.00000, 22.0653, 10.5158, 26.8301, 13.6252, 23.6564, 22.288, 0, 0
40, 1800.00000, 31.0126, 8.67401, 35.5107, 12.3502, 31.6375, 17.7328, 0, 0
