hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 1800.00000, 11.2493, 18.2122, 11.2493, 18.2122, 11.2493, 18.2122, 0, 0
1, 0.00000, 9.06261, 18.2121, 9.05699, 18.251, 9.05447, 18.2008, 0, 0
1, 1800.00000, 7.45594, 18.1971, 7.46282, 18.2086, 7.45808, 18.2487, 0, 0
2, 0.00000, 7.04263, 18.2516, 7.04048, 18.1975, 7.04731, 18.2094, 0, 0
2, 1800.00000, 7.08058, 18.2098, 7.08058, 18.2098, 7.08058, 18.2098, 0, 0
3, 0.00000, 6.89257, 18.2087, 6.89257, 18.2087, 6.89257, 18.2087, 0, 0
3, 1800.00000, 6.85421, 18.2089, 6.85421, 18.2089, 6.85421, 18.2089, 0, 0
4, 0.00000, 7.11695, 18.2077, 7.11695, 18.2077, 7.11695, 18.2077, 0, 0
4, 1800.00000, 9.27914, 18.2189, 9.27914, 18.2189, 9.27914, 18.2189, 0, 0
5, 0.00000, 11.0102, 18.2161, 11.0172, 18.2241, 11.0124, 18.2516, 0, 0
5, 1800.00000, 14.0095, 18.2287, 14.0047, 18.2505, 14.0025, 18.2223, 0, 0
6, 0.00000, 15.6546, 18.2335, 15.6546, 18.2336, 15.6546, 18.2335, 0, 0
6, 1800.00000, 24.0545, 18.2568, 24.0473, 18.2525, 24.0524, 18.2397, 0, 0
7, 0.00000, 27.72, 18.2461, 27.727, 18.2473, 27.723, 18.2594, 0, 0
7, 1800.00000, 28.4165, 18.2855, 28.4358, 18.3375, 28.4038, 18.3453, 0, 0
8, 0.00000, 30.6339, 17.5306, 31.2644, 19.2346, 30.1536, 19.435, 0, 0
8, 1800.00000, 32.2287, 16.5058, 33.901, 20.4328, 31.1179, 21.2034, 0, 0
9, 0.00000, 25.1834, 19.2143, 27.6658, 21.4254, 25.6257, 25.197, 0, 0
9, 1800.00000, 9.40778, 36.4906, 11.7979, 29.72, 11.8358, 42.8164, 0, 0
10, 0.00000, 5.71213, 39.0846, 8.51491, 40.8888, 7.33874, 59.4929, 0, 0
10, 1800.00000, 3.11541, 87.7572, 6.33261, 56.793, 7.1034, 90.8009, 0, 0
11, 0.00000, 5.0247, 138.379, 3.75904, 69.2959, 7.94716, 99.9164, 0, 0
11, 1800.00000, 13.6046, 171.562, 4.6234, 162.911, 12.6674, 131.414, 0, 0
12, 0.00000, 15.6062, 174.02, 5.67765, 171.093, 13.9593, 135.228, 0, 0
12, 1800.00000, 14.1729, 174.104, 2.03782, -178.789, 13.0363, 121.245, 0, 0
