hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 1800.00000, 10.1966, 19.3026, 11.6728, 13.1672, 11.9946, 22.1528, 0, 0
1, 0.00000, 8.69766, 18.2748, 9.24459, 16.2153, 9.26027, 20.146, 0, 0
1, 1800.00000, 8.88949, 20.6645, 6.51378, 27.3343, 7.23299, 6.92487, 0, 0
2, 0.00000, 8.6481, 21.4653, 5.94609, 29.0808, 6.88466, 4.64567, 0, 0
2, 1800.00000, 8.68326, 23.918, 5.64437, 27.4256, 7.29191, 4.12299, 0, 0
3, 0.00000, 8.79577, 24.3873, 5.2892, 30.3392, 7.12357, 1.34216, 0, 0
3, 1800.00000, 8.4112, 22.4759, 5.65113, 28.4301, 6.8477, 4.40203, 0, 0
4, 0.00000, 9.06656, 19.9093, 6.1276, 32.6957, 6.65611, 2.43037, 0, 0
4, 1800.00000, 12.3327, 21.1392, 7.60603, 35.725, 8.85051, -1.0974, 0, 0
5, 0.00000, 12.5405, 22.7301, 9.46939, 22.9668, 11.287, 9.19218, 0, 0
5, 1800.00000, 17.1489, 21.7841, 11.7736, 28.6341, 13.8104, 4.82281, 0, 0
6, 0.00000, 19.3074, 19.8955, 13.7156, 30.0791, 14.813, 4.95377, 0, 0
6, 1800.00000, 28.6346, 16.5384, 23.0786, 28.8101, 21.5461, 9.03723, 0, 0
7, 0.00000, 37.4124, 20.4019, 23.3103, 36.5002, 26.2391, -1.48757, 0, 0
7, 1800.00000, 37.4596, 23.1458, 22.4711, 33.1644, 28.7748, -0.0679023, 0, 0
8, 0.00000, 38.946, 24.1596, 24.3807, 30.0821, 31.6172, 2.84504, 0, 0
8, 1800.00000, 40.3414, 25.8282, 25.4158, 28.4642, 34.2105, 4.58614, 0, 0
9, 0.00000, 29.9656, 27.3306, 22.0992, 26.1632, 27.3578, 12.3838, 0, 0
9, 1800.00000, 12.2947, 51.1583, 7.85689, 30.3177, 13.4963, 26.2163, 0, 0
10, 0.00000, 6.45209, 58.6855, 6.47304, 34.6891, 8.64679, 46.7849, 0, 0
10, 1800.00000, 5.65347, 80.6589, 4.84616, 79.0283, 5.42311, 72.4943, 0, 0
