hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 1800.00000, 10.1966, 19.3026, 11.6728, 13.1672, 11.9946, 22.1528, 0, 0
1, 0.00000, 8.69758, 18.2748, 9.25037, 16.1782, 9.26842, 20.1554, 0, 0
1, 1800.00000, 8.89643, 20.6722, 6.51375, 27.3344, 7.23864, 6.89146, 0, 0
2, 0.00000, 8.65247, 21.4292, 5.95306, 29.0822, 6.88465, 4.6456, 0, 0
2, 1800.00000, 8.68326, 23.918, 5.64437, 27.4256, 7.29191, 4.12299, 0, 0
3, 0.00000, 8.79577, 24.3873, 5.2892, 30.3392, 7.12357, 1.34216, 0, 0
3, 1800.00000, 8.4112, 22.4759, 5.65113, 28.4301, 6.8477, 4.40203, 0, 0
4, 0.00000, 9.06656, 19.9093, 6.1276, 32.6957, 6.65611, 2.43037, 0, 0
4, 1800.00000, 12.3327, 21.1392, 7.60603, 35.725, 8.85051, -1.0974, 0, 0
5, 0.00000, 12.5476, 22.7348, 9.46931, 22.9669, 11.2926, 9.16927, 0, 0
5, 1800.00000, 17.1488, 21.7841, 11.7773, 28.6048, 13.8167, 4.83563, 0, 0
6, 0.00000, 19.3074, 19.8955, 13.7156, 30.0791, 14.813, 4.95377, 0, 0
6, 1800.00000, 28.6398, 16.5275, 23.0898, 28.796, 21.5525, 9.04434, 0, 0
7, 0.00000, 37.421, 20.4029, 23.3114, 36.5002, 26.246, -1.49562, 0, 0
7, 1800.00000, 37.5753, 23.1081, 22.549, 33.0098, 28.9092, -0.0840687, 0, 0
8, 0.00000, 39.9033, 24.6091, 24.4931, 28.8079, 33.1117, 2.36582, 0, 0
8, 1800.00000, 42.8261, 26.8098, 25.7123, 25.5691, 37.9374, 3.2775, 0, 0
9, 0.00000, 36.3478, 25.2014, 25.6966, 21.7589, 33.8818, 7.92684, 0, 0
9, 1800.00000, 22.9201, 27.9398, 17.0648, 15.9179, 23.9872, 10.508, 0, 0
10, 0.00000, 16.4877, 25.9686, 15.0884, 12.6416, 18.8868, 15.8803, 0, 0
10, 1800.00000, 18.5661, 24.9315, 14.0937, 19.5497, 18.0418, 10.1786, 0, 0
11, 0.00000, 19.1755, 18.4808, 14.4296, 29.3777, 14.6236, 6.75425, 0, 0
11, 1800.00000, 16.6369, 24.8562, 10.8439, 25.5634, 14.5023, 4.87432, 0, 0
12, 0.00000, 15.7087, 28.7305, 9.59704, 21.1895, 14.9617, 5.08264, 0, 0
12, 1800.00000, 14.8152, 32.1394, 9.9552, 12.4386, 16.308, 9.03507, 0, 0
13, 0.00000, 21.4184, 30.5021, 11.3092, 23.2621, 19.9936, 1.93706, 0, 0
13, 1800.00000, 21.1738, 35.1781, 8.85491, 20.5751, 20.6827, -0.459431, 0, 0
14, 0.00000, 19.4463, 32.4118, 9.77262, 20.8024, 18.8189, 1.92469, 0, 0
14, 1800.00000, 15.0927, 24.8033, 11.3052, 20.2069, 14.4673, 9.70381, 0, 0
15, 0.00000, 14.3683, 27.278, 9.68835, 20.1655, 13.8615, 7.35954, 0, 0
15, 1800.00000, 18.6597, 27.0559, 13.3477, 18.5014, 18.5587, 9.07197, 0, 0
16, 0.00000, 22.9219, 29.3196, 13.8229, 20.6116, 22.0662, 5.02196, 0, 0
16, 1800.00000, 23.0434, 31.1569, 13.1047, 19.1356, 22.7353, 4.39165, 0, 0
17, 0.00000, 36.7933, 25.2622, 24.186, 24.5547, 32.7105, 5.43392, 0, 0
17, 1800.00000, 42.6253, 23.4652, 35.1668, 18.6951, 42.1572, 12.452, 0, 0
18, 0.00000, 53.2723, 25.6379, 40.4203, 18.6462, 52.8439, 10.3783, 0, 0
18, 1800.00000, 50.1532, 26.0988, 41.8304, 15.184, 53.801, 13.3457, 0, 0
